rho,true_mi,estimated_mi,dim
-0.99,1.9585177736258443,1.91277277469635,2
-0.8485714285714285,0.6366140504569481,0.6444793939590454,2
-0.7071428571428571,0.346624613291395,0.3486105799674988,2
-0.5657142857142857,0.1928552505863134,0.194066047668457,2
-0.4242857142857142,0.099236669089144,0.1089023351669311,2
-0.2828571428571428,0.0416952410464402,0.039087176322937,2
-0.1414285714285714,0.0101023948926635,0.0110971014946699,2
0.0,-0.0,0.0036144852638244,2
0.1414285714285714,0.0101023948926635,0.0090986005961894,2
0.2828571428571429,0.0416952410464402,0.0432831943035125,2
0.4242857142857144,0.099236669089144,0.1073114275932312,2
0.5657142857142858,0.1928552505863135,0.1894854009151458,2
0.7071428571428571,0.346624613291395,0.3486396074295044,2
0.8485714285714285,0.6366140504569481,0.6202760934829712,2
0.99,1.9585177736258443,1.9986335039138796,2
-0.99,3.9170355472516887,3.7790136337280273,4
-0.8485714285714285,1.2732281009138962,1.2374635934829712,4
-0.7071428571428571,0.69324922658279,0.7106835246086121,4
-0.5657142857142857,0.3857105011726268,0.3971931338310241,4
-0.4242857142857142,0.198473338178288,0.1925857812166214,4
-0.2828571428571428,0.0833904820928805,0.0880981385707855,4
-0.1414285714285714,0.020204789785327,0.0273329764604568,4
0.0,-0.0,0.0208306014537811,4
0.1414285714285714,0.020204789785327,0.0239573903381824,4
0.2828571428571429,0.0833904820928805,0.0865386053919792,4
0.4242857142857144,0.1984733381782881,0.1886592507362365,4
0.5657142857142858,0.385710501172627,0.3889387845993042,4
0.7071428571428571,0.69324922658279,0.6928912997245789,4
0.8485714285714285,1.2732281009138962,1.2717742919921875,4
0.99,3.9170355472516887,3.8499794006347656,4
-0.99,5.875553320877533,4.9107985496521,6
-0.8485714285714285,1.909842151370844,1.8386132717132568,6
-0.7071428571428571,1.039873839874185,1.05485200881958,6
-0.5657142857142857,0.5785657517589402,0.5658563375473022,6
-0.4242857142857142,0.297710007267432,0.3088464736938476,6
-0.2828571428571428,0.1250857231393208,0.1472310423851013,6
-0.1414285714285714,0.0303071846779906,0.0577880442142486,6
0.0,-0.0,0.0774142146110534,6
0.1414285714285714,0.0303071846779906,0.0817478895187377,6
0.2828571428571429,0.1250857231393208,0.1351182758808136,6
0.4242857142857144,0.2977100072674322,0.3151648342609405,6
0.5657142857142858,0.5785657517589405,0.5651878714561462,6
0.7071428571428571,1.039873839874185,1.0225569009780884,6
0.8485714285714285,1.909842151370844,1.8292975425720213,6
0.99,5.875553320877533,5.826854705810547,6
-0.99,7.834071094503377,7.711598396301269,8
-0.8485714285714285,2.5464562018277923,2.425225257873535,8
-0.7071428571428571,1.38649845316558,1.382989525794983,8
-0.5657142857142857,0.7714210023452537,0.7798793911933899,8
-0.4242857142857142,0.396946676356576,0.4185252785682678,8
-0.2828571428571428,0.1667809641857611,0.1835091114044189,8
-0.1414285714285714,0.0404095795706541,0.1194295287132263,8
0.0,-0.0,0.1150513291358947,8
0.1414285714285714,0.0404095795706541,0.1596292853355407,8
0.2828571428571429,0.1667809641857611,0.1971465945243835,8
0.4242857142857144,0.3969466763565763,0.4021731615066528,8
0.5657142857142858,0.771421002345254,0.7409833669662476,8
0.7071428571428571,1.38649845316558,1.3562259674072266,8
0.8485714285714285,2.5464562018277923,2.470057964324951,8
0.99,7.834071094503377,8.39814281463623,8
-0.99,9.792588868129222,,10
-0.8485714285714285,3.1830702522847405,3.150618076324463,10
-0.7071428571428571,1.733123066456975,1.6757957935333252,10
-0.5657142857142857,0.9642762529315672,0.9759652614593506,10
-0.4242857142857142,0.49618334544572,0.4904061555862427,10
-0.2828571428571428,0.2084762052322014,0.210226833820343,10
-0.1414285714285714,0.0505119744633176,0.174975037574768,10
0.0,-0.0,0.1215278506278991,10
0.1414285714285714,0.0505119744633176,0.1867701411247253,10
0.2828571428571429,0.2084762052322014,0.2344295978546142,10
0.4242857142857144,0.4961833454457204,0.5016928315162659,10
0.5657142857142858,0.9642762529315676,0.9505191445350648,10
0.7071428571428571,1.733123066456975,1.6750667095184326,10
0.8485714285714285,3.1830702522847405,3.1355905532836914,10
0.99,9.792588868129222,,10
-0.99,11.751106641755063,,12
-0.8485714285714285,3.819684302741688,3.630504608154297,12
-0.7071428571428571,2.07974767974837,2.0385446548461914,12
-0.5657142857142857,1.1571315035178804,1.1262855529785156,12
-0.4242857142857142,0.595420014534864,0.5992924571037292,12
-0.2828571428571428,0.2501714462786416,0.2925402522087097,12
